id,question,slug,endDate,outcomes,outcomePrices,active,acceptingOrders,volumeNum,liquidityNum,liquidityClob,liquidity,book_bids,book_asks,book_bid_sum,book_ask_sum,book_bid_size_sum,book_ask_size_sum,book_underround,book_overround,outcomes_list,outcomePrices_list,price_yes,price_no,ask_sum,sum_off,sum_bad,degenerate_prices,bestBid_num,bestAsk_num,mid,rel_spread,crossed_or_zero,stale_yes_ask,yes_on_tick,no_on_tick,liquidity_num
516706,Fed rate hike in 2025?,fed-rate-hike-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.0135"", ""0.9865""]",True,True,736608.226971,60148.86884,60148.86884,60148.86884,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,1139078.0,1139078.0,0.0,0.0,"['Yes', 'No']","[0.0135, 0.9865]",0.0135,0.9865,1.0,0.0,False,False,0.013,0.014,0.0135,0.07407407407407414,False,False,False,False,60148.86884
516730,Will 7 Fed rate cuts happen in 2025?,will-7-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",True,True,2792205.51664,277511.83554,277511.83554,277511.83554,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,5119346.260000001,5119346.260000001,0.0,0.0,"['Yes', 'No']","[0.0015, 0.9985]",0.0015,0.9985,1.0,0.0,False,False,0.001,0.002,0.0015,0.6666666666666666,False,False,False,False,277511.83554
516725,Will 2 Fed rate cuts happen in 2025?,will-2-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.26"", ""0.74""]",True,True,2550056.126209,102319.8565,102319.8565,102319.8565,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,927059.01,927059.01,0.0,0.0,"['Yes', 'No']","[0.26, 0.74]",0.26,0.74,1.0,0.0,False,False,0.25,0.27,0.26,0.07692307692307698,False,True,True,True,102319.8565
516731,Will 6 Fed rate cuts happen in 2025?,will-6-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",True,True,2312541.113532,269261.15599,269261.15599,269261.15599,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,5094254.4799999995,5094254.4799999995,0.0,0.0,"['Yes', 'No']","[0.0015, 0.9985]",0.0015,0.9985,1.0,0.0,False,False,0.001,0.002,0.0015,0.6666666666666666,False,False,False,False,269261.15599
516726,Will 3 Fed rate cuts happen in 2025?,will-3-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.7"", ""0.3""]",True,True,2695115.294601,46014.216,46014.216,46014.216,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,412099.88,412099.88,0.0,0.0,"['Yes', 'No']","[0.7, 0.3]",0.7,0.3,1.0,0.0,False,False,0.69,0.71,0.7,0.0285714285714286,False,True,True,True,46014.216
516727,Will 4 Fed rate cuts happen in 2025?,will-4-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.02"", ""0.98""]",True,True,2684093.436283,90553.29141,90553.29141,90553.29141,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,2221132.16,2221132.16,0.0,0.0,"['Yes', 'No']","[0.02, 0.98]",0.02,0.98,1.0,0.0,False,False,0.019,0.021,0.02,0.10000000000000009,False,False,True,True,90553.29141
516728,Will 5 Fed rate cuts happen in 2025?,will-5-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.005"", ""0.995""]",True,True,1943211.144326,160666.49919,160666.49919,160666.49919,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,3038682.22,3038682.22,0.0,0.0,"['Yes', 'No']","[0.005, 0.995]",0.005,0.995,1.0,0.0,False,False,0.004,0.006,0.005,0.4,False,False,True,True,160666.49919
516729,Will 8+ Fed rate cuts happen in 2025?,will-8plus-fed-rate-cuts-happen-in-2025,2025-12-10T12:00:00Z,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",True,True,2275401.534782,161261.25986,161261.25986,161261.25986,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,5024326.72,5024326.72,0.0,0.0,"['Yes', 'No']","[0.0015, 0.9985]",0.0015,0.9985,1.0,0.0,False,False,0.001,0.002,0.0015,0.6666666666666666,False,False,False,False,161261.25986
516838,Tim Cook out as Apple CEO in 2025?,tim-cook-out-as-apple-ceo-in-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0465"", ""0.9535""]",True,True,26888.312934,7835.85955,7835.85955,7835.85955,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,17089.0,17089.0,0.0,0.0,"['Yes', 'No']","[0.0465, 0.9535]",0.0465,0.9535,1.0,0.0,False,False,0.044,0.049,0.0465,0.1075268817204302,False,False,False,False,7835.85955
516840,Dan Clancy out as Twitch CEO in 2025?,dan-clancy-out-as-twitch-ceo-in-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.075"", ""0.925""]",True,True,180031.148565,2078.6056,2078.6056,2078.6056,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,1346.0,1346.0,0.0,0.0,"['Yes', 'No']","[0.075, 0.925]",0.075,0.925,1.0,0.0,False,False,0.06,0.09,0.075,0.4,False,True,False,False,2078.6056
